address,city,country,state,name,lon,lat
12708 North Rangpur Dr,Marana,USA,AZ,Wicked Monkey Brewing,-111.20923,32.43719
123 North Cortez St,Prescott,USA,AZ,Granite Mountain Brewing,-112.4687,34.54275
1205 West Pierce St,Phoenix,USA,AZ,Grand Avenue Brewing Co,-112.08841,33.45574
119 East Toole Ave,Tucson,USA,AZ,Borderlands Brewing,-110.97046,32.22594
115 East Broadway Blvd,Tucson,USA,AZ,Pueblo Vida Brewing,-110.96808,32.22131
11 South Beaver St,Flagstaff,USA,AZ,Beaver Street Brewery,-111.65141,35.19618
107 West Honeysuckle St,Litchfield Park,USA,AZ,Peoria Artisan Brewery,-112.23738,33.5806
107 East Toughnut St,Tombstone,USA,AZ,Helldorado Brewing,-110.07302,31.71399
1050 North Fairway Dr,Avondale,USA,AZ,8-Bit Brewery,-112.32614,33.45359
10426 East Jomax Road,Scottsdale,USA,AZ,Sonoran Brewing Company,-111.85495,33.72671
100 N. Humphreys St,Flagstaff,USA,AZ,Trailhead Beer Co,-111.65059,35.19938
Unit 170 - 2270 Dollarton Highway,North Vancouver,CAN,BC,Deep Cove Brewers & Distillers,-123.01169,49.30602
1531 Clyde Ave,West Vancouver,USA,BC,Ambleside Brewing BOP,-123.156918,49.328782
123 Carrie Cates Court,North Vancouver,CAN,BC,Green Leaf Brewing Co,-123.08087,49.31066
115-2433 Dollarton Highway,North Vancouver,CAN,BC,Bridge Brewing Co,-123.00868,49.30702
Unit 1 - 27272 Gloucester Way,Aldergrove,CAN,BC,Dead Frog Brewery,-122.4689,49.0979
Rinconada de Pedregal 43,Ensenada Baja Califor,MEX,BC,Cerveza Media Perra,-116.663936,31.868358
Highways 3 and 97,Osoyoos,CAN,BC,Ridge Brewing,-119.46626,49.03283
Calle 6ta y Castillo,Zona Cent,MEX,BC,Old Mission Brewery,-116.618014,31.865947
Blvd. Lopez Mateos #2301,Mexicali,MEX,BC,Cerveceria de Baja California,-115.4673,32.65498
Blvd. Fundadores #2951,Colonia Jua,MEX,BC,Consorcio Cervecero de Baja Ca,-117.031552,32.514583
Blvd. Fundadores #2951,Colonia Jua,MEX,BC,Tijuana TJ Beer,-117.018204,32.533489
Avenida Paseo de los Héroes 9415,Zona,MEX,BC,Cerveza Bosiger,-116.994134,32.514105
97 East Second Ave,Vancouver,CAN,BC,Steel Toad Brewing Co,-123.102826,49.26928
965 McGill Place,Kamloops,CAN,BC,Kamloops Brewery Ltd,-120.37363,50.66916
954 West Eckhardt Ave,Penticton,CAN,BC,Tin Whistle Brewing,-119.6098,49.49439
8284 Sherbrooke St,Vancouver,CAN,BC,Dogwood Brewing,-123.082113,49.20961
7160 Oliver St,Mission,CAN,BC,Mission Springs Brewing,-122.3426,49.13232
706 Elson Road,Sorrento,CAN,BC,Crannog Ales,-119.506724,50.881038
67-3087 Immel St,Abbotsford,CAN,BC,Canuck Empire Brewing,-122.27202,49.05799
650 Victoria St,Kamloops,CAN,BC,Noble Pig Brewhouse & Rest,-120.32557,50.6761
602-13361 78th Ave,Surrey,CAN,BC,Newton Brewmasters,-122.85228,49.14452
5824 Ash Ave,Powell River,CAN,BC,Townsite Brewing Inc,-124.5512,49.87428
5820 Marine Dr,Burnaby,CAN,BC,Marine Pub & Brewhouse,-122.97923,49.20574
5775 Turner Road,Nanaimo,CAN,BC,Longwood Brewpub,-124.0364,49.22496
5580 152nd St,Surrey,CAN,BC,Big Ridge Brewing,-122.80083,49.10385
55 Dunlevy Ave,Vancouver,CAN,BC,Postmark Brewing,-123.095393,49.284319
54 East Fourth Ave,Vancouver,CAN,BC,R&B Brewing,-123.102884,49.267345
521 First Street West,Revelstoke,CAN,BC,Mount Begbie Brewing,-118.19935,51.00122
512 Latimer Street,Nelson,CAN,BC,Nelson Brewing,-117.29042,49.48824
511 Front St,Nelson,CAN,BC,Beacon (Torchlight) Brewing Co,-117.294807,49.494228
506 Pandora Ave,Victoria,CAN,BC,Buckerfield Brewery,-123.36929,48.428482
4816 Highway 16 West,Unit #,CAN,BC,Sherwood Mountain Brewhouse,-128.602108,54.515861
465 Fraserview Place,Delta,CAN,BC,Turning Point Brewery,-122.952997,49.160363
4629 Greig Ave,Terrace,CAN,BC,Skeena Brewing Co,-128.589324,54.515843
450 Swift St,Victoria,CAN,BC,Canoe Brewpub Marina & Restautant,-123.370457,48.429529
45 Craig St,Duncan,CAN,BC,Craig Street Brewing,-123.70828,48.77733
4355 Blackcomb Way,Whistler,CAN,BC,High Mountain Brewhouse,-122.953932,50.118643
4331 Dominion St,Burnaby,CAN,BC,Champ's Sports Pub,-123.0181,49.25635
403 East Hastings St,Vancouver,CAN,BC,Pat's Pub & Brewhouse,-123.09535,49.28127
4-7355 72nd St,Delta,CAN,BC,Four Winds Brewing,-123.025704,49.136987
3845 William St,Burnaby,CAN,BC,Steamworks Brewing Co,-123.020093,49.274006
37801 Cleveland Ave,Squamish,CAN,BC,Howe Sound Inn & Brewing,-123.15627,49.69513
375 Water St,Vancouver,CAN,BC,Gastown Brewing Co,-123.11066,49.28466
355 Lansdowne St,Kamloops,CAN,BC,Red Collar Brewing Co,-120.332667,50.676555
350B Bay St,Victoria,CAN,BC,Moon Under Water,-123.375103,48.434983
3352 Frontage Road,Smithers,CAN,BC,Plan B Brewing Co,-127.16162,54.77852
310 West 4th Ave,Vancouver,CAN,BC,Big Rock Brewery,-123.11083,49.267493
310 Commercial Dr,Vancouver,CAN,BC,Storm Brewing Ltd,-123.07038,49.282081
308 Catherine St,Victoria,CAN,BC,Spinnaker's Brewpub & Guesthouse,-123.384682,48.429485
30321 Fraser Highway,Unit,CAN,BC,Old Abbey Ales,-122.386025,49.056253
2801 - 27A Ave,Vernon,CAN,BC,Okanagan Spring Brewery,-119.267856,50.26185
2732 Dunsmuir Ave,Cumberland,CAN,BC,Cumberland Brewing Co,-125.027831,49.619099
270 Furness Road,Salt Spring Island,CAN,BC,Gulf Islands Brewery,-123.497878,48.785039
261 East Seventh Ave,Vancouver,CAN,BC,Main Street Brewing Co,-123.099369,49.264603
2601 Murray St,Port Moody,CAN,BC,Moody Ales,-122.853709,49.278869
2460 Skaha Lake Road,Penticton,CAN,BC,Barley Mill Brewpub,-119.58405,49.46968
244 4th St,Courtenay,CAN,BC,Gladstone Brewing,-124.998209,49.692002
2330 Government St,Victoria,CAN,BC,Vancouver Island Brewing,-123.367274,48.434528
23-2337 Townline Road,Abbotsford,CAN,BC,Surlie Brewing,-122.36026,49.04477
228 Cayer St,Coquitlam,CAN,BC,Como Creek Brewing,-122.84671,49.23715
22775 Dewdney Trunk Rd,Maple Ridge,CAN,BC,Maple Meadows Brewing Co,-122.590911,49.22046
2200 Keating Cross Rd,Saanichton,CAN,BC,Category 12 Brewing,-123.408169,48.565126
217 First Avenue East,Prince Rupert,CAN,BC,Wheelhouse Brewing Co,-130.320505,54.3177
2148 Main St,Vancouver,CAN,BC,Brassneck Brewery,-123.100784,49.265678
205 Merecroft Village,Campbell River,CAN,BC,Merecroft Village Pub,-125.24816,50.0246
2010 Government St,Victoria,CAN,BC,Phillips Brewing,-123.367175,48.431977
20 Shuswap Street SE,Salmon Arm,CAN,BC,Barley Station Brewpub,-119.2851,50.69959
2-940 Old Victoria Rd,Nanaimo,CAN,BC,Wolf Brewing Company,-123.93149,49.14186
2-836 Devonshire Rd,Victoria,CAN,BC,Lighthouse Brewing,-123.396631,48.435816
1990-A Columbia Ave,Rossland,CAN,BC,Rossland Beer Co,-117.800531,49.077115
199 Island Highway,Victoria,CAN,BC,Four Mile House Pub & Restaurant,-123.434567,48.45262
1967 Triumph St,Vancouver,CAN,BC,Coal Harbour Brewing,-123.064457,49.284039
1950 Triumph St,Vancouver,CAN,BC,Parallel 49 Brewing Co,-123.064439,49.283905
185 Davie St,Quesnel,CAN,BC,Barkerville Brewing Co,-122.49334,52.975705
169 Estabrook Ave,Penticton,CAN,BC,Bad Tattoo Brewing Co,-119.596345,49.500478
1590 Cliffe Ave,Courtenay,CAN,BC,Forbidden Brewing Co,-124.990722,49.685466
15181 Russell Ave,White Rock,CAN,BC,White Rock Beach Brewing Co,-122.801294,49.029327
